epoch,layer,FP32-FP16_mse,fp32-bf16_mse,FP32-FP16_L_inf,FP32-bf16_L_inf
30.0,conv2_x.0.residual_function.4,"tensor([2.4164e-13, 4.0732e-12, 6.4807e-13, 6.9386e-13, 2.7526e-11, 5.2514e-16,
        1.1561e-11, 3.0261e-12, 3.2654e-12, 8.3675e-13, 1.2951e-11, 1.0320e-12,
        1.7995e-12, 1.4587e-12, 6.4305e-13, 3.2844e-13, 1.6974e-12, 4.1880e-14,
        4.1974e-12, 2.1630e-15, 3.6483e-15, 2.2294e-13, 5.0954e-12, 4.0543e-14,
        1.2192e-11, 3.7214e-13, 1.9024e-12, 7.1888e-12, 1.2540e-12, 1.2654e-12,
        4.8351e-15, 1.1902e-12, 1.1512e-13, 1.8491e-12, 1.0770e-13, 6.0621e-13,
        3.2456e-14, 5.5041e-13, 7.5363e-12, 1.8580e-13, 3.3784e-12, 3.6002e-12,
        9.9870e-13, 7.7897e-14, 2.7024e-12, 5.9464e-13, 8.4144e-14, 1.4065e-12,
        1.6871e-12, 1.1746e-13, 7.9132e-13, 1.0033e-13, 4.0288e-12, 1.0792e-12,
        7.1817e-14, 5.9333e-13, 1.4469e-12, 2.0324e-12, 2.5629e-12, 8.0802e-13,
        1.7230e-12, 5.5509e-13, 6.0190e-13, 9.8913e-13])","tensor([8.0963e-12, 6.7647e-10, 5.2362e-11, 7.1448e-11, 2.0021e-09, 2.4495e-14,
        5.8840e-10, 2.3321e-10, 1.0345e-10, 2.6964e-11, 9.4460e-10, 6.9084e-11,
        1.0109e-10, 5.8255e-11, 1.9162e-11, 1.8850e-11, 6.3195e-11, 4.0856e-12,
        2.3388e-10, 8.4039e-14, 3.1215e-13, 1.0590e-11, 2.8625e-10, 2.6283e-12,
        2.8255e-10, 2.2615e-11, 7.0331e-11, 3.2625e-10, 7.5457e-11, 1.2814e-10,
        3.7554e-13, 9.7235e-11, 3.6160e-12, 2.7651e-10, 1.5512e-11, 1.9854e-11,
        1.4051e-12, 4.3505e-11, 6.0554e-10, 1.7729e-11, 1.4483e-10, 6.2922e-10,
        3.9059e-11, 5.5755e-12, 1.4775e-10, 4.5852e-11, 7.3555e-12, 1.5148e-10,
        1.4502e-10, 7.5266e-12, 5.5077e-11, 7.5593e-12, 1.8286e-10, 8.0616e-11,
        2.0425e-12, 3.3831e-11, 9.1693e-11, 6.2685e-11, 9.2333e-11, 7.0943e-11,
        8.9186e-11, 7.7382e-11, 3.3927e-11, 1.9437e-11])","tensor([2.6202e-11, 5.4889e-10, 5.8827e-11, 1.9976e-10, 9.9706e-09, 4.1286e-14,
        2.1344e-09, 4.4978e-10, 3.3946e-10, 1.3654e-10, 1.5735e-09, 9.5727e-11,
        1.2484e-10, 1.4901e-10, 6.9944e-11, 4.5421e-11, 2.4248e-10, 4.7204e-12,
        1.1451e-09, 1.7205e-13, 5.6120e-13, 1.8941e-11, 3.2432e-10, 1.6815e-11,
        4.2967e-10, 7.5204e-11, 1.3867e-10, 2.6217e-09, 2.0814e-10, 1.5477e-10,
        4.3083e-13, 3.4128e-10, 2.4798e-11, 4.2551e-10, 1.2895e-11, 7.4913e-11,
        4.0646e-12, 5.8243e-11, 1.5251e-09, 5.0760e-11, 3.0986e-10, 3.7482e-10,
        6.6476e-11, 1.0912e-11, 7.8406e-10, 6.7054e-11, 1.1730e-11, 4.7436e-10,
        1.5671e-10, 1.8226e-11, 5.3872e-11, 1.6394e-11, 8.2924e-10, 1.5072e-10,
        5.4422e-12, 4.9344e-11, 2.9298e-10, 1.3341e-10, 2.6460e-10, 1.0822e-10,
        3.6093e-10, 7.5535e-11, 8.0947e-11, 5.8742e-11])","tensor([1.0056e-09, 9.9970e-08, 4.7196e-09, 1.1899e-08, 4.2236e-07, 5.1318e-12,
        9.1258e-08, 1.8575e-08, 2.4848e-08, 4.4502e-09, 7.2321e-08, 1.2255e-08,
        6.3353e-09, 3.7967e-09, 1.0152e-09, 2.2087e-09, 1.1749e-08, 4.5549e-10,
        4.4429e-08, 1.1379e-11, 4.1876e-11, 1.5421e-09, 3.2047e-08, 6.0085e-10,
        1.3775e-08, 2.8975e-09, 4.4134e-09, 3.5352e-08, 2.2792e-08, 1.1668e-08,
        4.9170e-11, 1.6358e-08, 6.6599e-10, 3.3009e-08, 1.3828e-09, 1.3365e-09,
        1.5291e-10, 3.0270e-09, 9.4066e-08, 5.3764e-09, 1.2138e-08, 6.3430e-08,
        6.0082e-09, 8.6228e-10, 2.7037e-08, 4.5775e-09, 1.1303e-09, 3.0827e-08,
        1.1706e-08, 9.3007e-10, 5.8559e-09, 9.4567e-10, 3.5458e-08, 1.5011e-08,
        2.8702e-10, 2.8534e-09, 2.9735e-08, 1.0619e-08, 1.5123e-08, 1.7644e-08,
        3.1953e-08, 6.4846e-09, 3.1487e-09, 1.8234e-09])"
30.0,conv3_x.0.shortcut.1,"tensor([2.8681e-12, 1.7555e-12, 1.7008e-13, 7.4126e-14, 1.1738e-13, 9.5256e-13,
        1.1626e-13, 2.1877e-15, 7.8564e-13, 6.0258e-13, 2.2604e-13, 4.5898e-13,
        1.1865e-13, 9.7086e-13, 1.4066e-13, 2.4561e-13, 3.8153e-12, 1.0766e-13,
        1.1381e-13, 4.0111e-13, 2.4761e-13, 2.2001e-13, 4.9276e-14, 6.7244e-13,
        2.4543e-13, 5.8360e-14, 6.8695e-13, 4.3746e-13, 1.0515e-12, 2.5760e-12,
        7.5137e-13, 1.4790e-13, 3.7943e-14, 2.4527e-13, 2.9085e-13, 3.9325e-13,
        7.7012e-13, 2.4062e-13, 6.9607e-13, 2.0033e-13, 3.3456e-14, 1.2526e-13,
        4.5853e-13, 9.3444e-13, 3.6688e-14, 5.7676e-13, 3.9206e-13, 1.0655e-13,
        5.3257e-14, 1.6182e-13, 1.7616e-13, 4.0995e-14, 3.0743e-13, 2.2883e-13,
        2.3435e-12, 4.4228e-12, 1.6501e-13, 1.6831e-13, 6.9450e-13, 5.1341e-13,
        5.2094e-13, 4.1360e-13, 3.4400e-13, 4.8153e-13, 7.7287e-14, 9.1157e-13,
        1.3992e-12, 2.6697e-13, 7.2237e-13, 2.3091e-13, 7.1488e-15, 6.4135e-14,
        2.7416e-13, 9.3057e-13, 1.9142e-12, 1.2573e-12, 4.2332e-13, 8.3461e-14,
        4.4824e-13, 4.0530e-14, 1.1397e-13, 2.6048e-14, 1.6422e-13, 6.2459e-13,
        1.2066e-13, 5.6126e-13, 1.4421e-12, 1.1045e-12, 1.6927e-13, 2.8252e-13,
        4.5696e-13, 3.2687e-13, 9.4482e-14, 8.8447e-14, 6.7872e-14, 3.8309e-14,
        4.1273e-13, 4.4673e-13, 8.8488e-13, 1.0359e-13, 7.0502e-13, 8.2246e-14,
        6.3135e-15, 1.2764e-12, 4.4502e-12, 5.1190e-13, 1.0082e-12, 1.8128e-12,
        5.3025e-13, 4.6721e-12, 1.2096e-12, 6.7684e-13, 6.5674e-13, 2.3375e-13,
        5.9317e-13, 2.0987e-13, 2.9010e-13, 3.5012e-14, 2.7193e-13, 1.6389e-12,
        2.8313e-13, 1.1986e-13, 2.0623e-13, 1.3673e-12, 4.2023e-14, 2.4070e-13,
        1.0000e-13, 3.9054e-14])","tensor([2.6619e-10, 5.9131e-11, 7.2610e-12, 4.7955e-12, 1.3007e-11, 5.7530e-11,
        8.0898e-12, 2.3410e-13, 5.4185e-11, 3.9696e-11, 1.7899e-11, 3.3319e-11,
        7.4128e-12, 1.2127e-10, 4.1971e-12, 3.7368e-11, 2.6814e-10, 1.0414e-11,
        3.7127e-12, 3.3989e-11, 1.6503e-11, 1.0622e-11, 5.7876e-12, 5.9060e-11,
        1.1215e-11, 7.0053e-12, 2.7041e-11, 2.0994e-11, 4.2194e-11, 2.5926e-10,
        8.2838e-11, 4.6878e-12, 3.0642e-12, 2.2002e-11, 1.2486e-11, 1.0819e-10,
        4.3456e-11, 1.0371e-11, 2.0696e-11, 7.9117e-12, 3.8762e-12, 6.1594e-12,
        2.4070e-11, 7.2102e-11, 2.9615e-12, 3.5957e-11, 6.5256e-11, 6.7239e-12,
        1.9414e-12, 8.4576e-12, 9.5771e-12, 2.9777e-12, 7.0088e-12, 1.9756e-11,
        1.6595e-10, 4.4506e-10, 1.0941e-11, 1.5258e-11, 1.0329e-10, 1.1602e-11,
        1.3644e-10, 1.0978e-11, 1.7731e-11, 5.8142e-11, 1.4926e-11, 3.3746e-11,
        3.5362e-11, 2.0063e-11, 6.5599e-11, 8.8417e-12, 4.2512e-13, 5.3765e-12,
        3.3439e-11, 4.9763e-11, 1.6752e-10, 2.2588e-10, 1.0500e-11, 5.4840e-12,
        3.7749e-11, 3.9659e-12, 8.4456e-12, 1.4102e-12, 9.4128e-12, 3.3444e-11,
        6.1783e-12, 3.5311e-11, 8.0330e-11, 6.5904e-11, 9.1697e-12, 1.3761e-11,
        2.8472e-11, 3.1322e-11, 7.6575e-12, 1.7394e-11, 6.6901e-12, 2.6192e-12,
        2.6505e-11, 3.1667e-11, 6.4128e-11, 6.6282e-12, 2.1520e-11, 3.0172e-12,
        5.7859e-13, 6.7988e-11, 2.1222e-10, 3.1454e-11, 1.0663e-10, 8.0146e-11,
        5.2246e-11, 8.5937e-11, 8.5550e-11, 1.5516e-11, 7.8200e-11, 7.4256e-12,
        6.3073e-11, 1.3919e-11, 7.3604e-12, 4.0398e-12, 1.5846e-11, 1.3294e-10,
        4.5660e-12, 7.2499e-12, 1.9199e-11, 4.7695e-11, 3.9966e-12, 9.2169e-12,
        2.1315e-11, 9.1596e-13])","tensor([3.0052e-10, 1.1882e-10, 1.1302e-11, 5.4465e-12, 8.6488e-12, 9.8231e-11,
        7.2945e-12, 1.2494e-13, 4.1134e-11, 2.6997e-11, 2.3553e-11, 3.9332e-11,
        1.4685e-11, 8.2504e-11, 9.4599e-12, 2.1062e-11, 2.1312e-10, 6.9970e-12,
        7.8741e-12, 2.7796e-11, 1.9951e-11, 3.9011e-11, 2.0537e-12, 2.2835e-11,
        2.7568e-11, 4.7341e-12, 2.9291e-11, 2.5353e-11, 1.8491e-10, 2.8146e-10,
        3.5217e-11, 1.2564e-11, 4.7574e-12, 4.7484e-11, 2.6496e-11, 2.9007e-11,
        4.0821e-11, 1.3732e-11, 4.0376e-11, 1.6099e-11, 2.0321e-12, 1.6208e-11,
        6.1873e-11, 9.4609e-11, 2.9734e-12, 6.2970e-11, 5.2204e-11, 5.2436e-12,
        1.1533e-12, 2.3625e-11, 1.0221e-11, 3.7539e-12, 2.5607e-11, 1.4041e-11,
        1.6892e-10, 1.2871e-09, 1.5891e-11, 7.8551e-12, 3.8328e-11, 4.8988e-11,
        4.0705e-11, 3.0532e-11, 8.5500e-11, 3.3887e-11, 3.3248e-12, 5.3572e-11,
        6.3793e-11, 2.6474e-11, 4.3190e-11, 2.0128e-11, 5.1301e-13, 1.4777e-11,
        3.2635e-11, 8.6849e-11, 6.7283e-11, 6.7230e-11, 4.3355e-11, 1.1478e-11,
        3.7799e-11, 4.1301e-12, 7.7556e-12, 3.9047e-12, 1.8252e-11, 1.0327e-10,
        1.1903e-11, 3.5544e-11, 1.8616e-10, 1.1467e-10, 2.2889e-11, 1.8264e-11,
        2.7767e-11, 2.7488e-11, 6.7033e-12, 7.3197e-12, 5.0101e-12, 4.7043e-12,
        3.3835e-11, 3.8530e-11, 5.7112e-11, 1.0948e-11, 5.6242e-11, 5.1243e-12,
        4.6849e-13, 9.2484e-11, 4.5022e-10, 2.8468e-11, 7.2277e-11, 1.0117e-10,
        3.9889e-11, 2.0787e-10, 1.3309e-10, 6.0990e-11, 9.3121e-11, 1.7905e-11,
        3.7309e-11, 2.5562e-11, 1.8409e-11, 3.0807e-12, 3.6241e-11, 1.4912e-10,
        9.9752e-12, 8.7092e-12, 1.7166e-11, 4.8057e-11, 2.5248e-12, 9.7922e-12,
        2.3074e-11, 3.3794e-12])","tensor([4.6526e-08, 8.3509e-09, 6.1184e-10, 3.3635e-10, 5.5578e-10, 7.3925e-09,
        5.7144e-10, 1.7370e-11, 2.6636e-09, 2.6281e-09, 7.3192e-10, 1.5189e-09,
        1.0814e-09, 6.1093e-09, 4.8378e-10, 1.9723e-09, 1.3227e-08, 6.3183e-10,
        2.4668e-10, 2.4757e-09, 1.6172e-09, 1.6696e-09, 3.0938e-10, 2.5258e-09,
        8.8513e-10, 2.4170e-10, 1.3948e-09, 1.3636e-09, 4.6862e-09, 1.3990e-08,
        4.4603e-09, 3.4133e-10, 1.8418e-10, 3.1045e-09, 1.0460e-09, 4.5689e-09,
        4.6314e-09, 6.5048e-10, 1.7697e-09, 9.3390e-10, 2.1418e-10, 6.5531e-10,
        2.1538e-09, 4.8008e-09, 2.8624e-10, 4.9622e-09, 2.1723e-09, 4.3808e-10,
        1.8139e-10, 1.4198e-09, 6.1080e-10, 2.7566e-10, 3.5667e-10, 1.0511e-09,
        8.8710e-09, 6.1957e-08, 6.4357e-10, 7.1235e-10, 6.8483e-09, 6.5021e-10,
        6.5547e-09, 8.0812e-10, 1.9328e-09, 3.0881e-09, 6.6862e-10, 1.9693e-09,
        1.0971e-09, 1.5877e-09, 9.7471e-09, 6.6884e-10, 3.4050e-11, 4.9084e-10,
        4.8279e-09, 6.7764e-09, 1.2384e-08, 1.3228e-08, 9.3046e-10, 3.8026e-10,
        6.7584e-09, 2.7177e-10, 6.1219e-10, 9.6296e-11, 5.9260e-10, 1.7811e-09,
        1.5508e-09, 2.4946e-09, 9.1765e-09, 6.8606e-09, 8.0166e-10, 9.7719e-10,
        2.3226e-09, 3.3168e-09, 5.3196e-10, 8.8506e-10, 1.6016e-10, 2.5196e-10,
        1.2377e-09, 2.3202e-09, 6.1160e-09, 3.7661e-10, 2.5092e-09, 3.0440e-10,
        1.9831e-11, 1.4631e-08, 1.4080e-08, 2.5555e-09, 5.1659e-09, 9.3667e-09,
        4.4948e-09, 6.5679e-09, 9.4029e-09, 1.2516e-09, 4.3297e-09, 5.6577e-10,
        4.5319e-09, 2.5456e-09, 5.2146e-10, 3.4313e-10, 1.7388e-09, 8.9961e-09,
        3.5212e-10, 4.6226e-10, 6.7178e-10, 5.2318e-09, 1.5917e-10, 8.5824e-10,
        2.3388e-09, 1.0861e-10])"
